Ni
Action	Sample ID	True Value (ppb)	Conc. (ppb)	Abs.	SG#	Date	Time
UNK14-3	ap6		-0.4303	0.0050	1	8/3/2022	11:07:34 AM(+0700)
UNK14-AV	ap6				1		
UNK15-1	chuan 40		12.3391	0.1442	1	8/3/2022	11:34:22 AM(+0700)
UNK15-2	chuan 40		13.4124	0.1559	1	8/3/2022	11:37:40 AM(+0700)
UNK15-AV	chuan 40				1		
UNK16-1	631		11.0090	0.1297	1	8/3/2022	11:40:08 AM(+0700)
UNK16-2	631		11.0640	0.1303	1	8/3/2022	11:41:59 AM(+0700)
UNK16-AV	631				1		
UNK17-1	AP4		1.7530	0.0288	1	8/3/2022	11:44:28 AM(+0700)
UNK17-2	AP4		1.2393	0.0232	1	8/3/2022	11:46:20 AM(+0700)
UNK17-3	AP4		1.1934	0.0227	1	8/3/2022	11:48:16 AM(+0700)
UNK17-AV	AP4				1		
UNK18-1	AP6		2.0373	0.0319	1	8/3/2022	11:50:45 AM(+0700)
UNK18-2	AP6		2.0098	0.0316	1	8/3/2022	11:52:37 AM(+0700)
UNK18-AV	AP6				1		
UNK19-1	CHUAN40		6.1837	0.0771	1	8/3/2022	1:12:07 PM(+0700)
UNK19-2	CHUAN40		6.8626	0.0845	1	8/3/2022	1:15:25 PM(+0700)
UNK19-AV	CHUAN40				1		
STD-1		2.0000	1.1384	0.0221		8/3/2022	2:32:17 PM(+0700)
STD-2		2.0000	1.3218	0.0241		8/3/2022	2:35:38 PM(+0700)
STD-AV		2.0000					
STD-1		4.0000	3.3125	0.0458		8/3/2022	2:38:06 PM(+0700)
STD-2		4.0000	2.9363	0.0417		8/3/2022	2:41:30 PM(+0700)
STD-AV		4.0000					
STD-1		10.0000	7.1011	0.0871		8/3/2022	2:43:58 PM(+0700)
STD-2		10.0000	8.1285	0.0983		8/3/2022	2:47:27 PM(+0700)
STD-3		10.0000	7.8900	0.0957		8/3/2022	2:49:22 PM(+0700)
STD-AV		10.0000					
STD-1		20.0000	16.2287	0.1866		8/3/2022	2:51:50 PM(+0700)
STD-2		20.0000	15.8526	0.1825		8/3/2022	2:55:15 PM(+0700)
STD-AV		20.0000					
STD-1		2.0000	4.6701	0.0606		8/10/2022	2:14:41 PM(+0700)
STD-2		2.0000	3.8170	0.0513		8/10/2022	2:18:02 PM(+0700)
STD-3		2.0000	3.3125	0.0458		8/10/2022	2:19:57 PM(+0700)
STD-AV		2.0000					
STD-1		4.0000	5.5324	0.0700		8/10/2022	2:22:25 PM(+0700)
STD-2		4.0000	4.8811	0.0629		8/10/2022	2:25:49 PM(+0700)
STD-3		4.0000	4.8261	0.0623		8/10/2022	2:27:44 PM(+0700)
STD-AV		4.0000					
STD-1		10.0000	11.2200	0.1320		8/10/2022	2:30:12 PM(+0700)
STD-2		10.0000	11.2016	0.1318		8/10/2022	2:33:37 PM(+0700)
STD-AV		10.0000					
STD-1		20.0000	21.6227	0.2454		8/10/2022	2:36:05 PM(+0700)
STD-2		20.0000	21.0906	0.2396		8/10/2022	2:39:29 PM(+0700)
STD-AV		20.0000					
UNK20-1	4		2.6978	0.0391	1	8/10/2022	2:41:57 PM(+0700)
UNK20-2	4		2.9180	0.0415	1	8/10/2022	2:43:49 PM(+0700)
UNK20-AV	4				1		
UNK21-1	6		3.6886	0.0499	1	8/10/2022	2:46:18 PM(+0700)
UNK21-2	6		3.5877	0.0488	1	8/10/2022	2:48:09 PM(+0700)
UNK21-AV	6				1		
UNK22-1	631		3.0189	0.0426	1	8/10/2022	2:50:38 PM(+0700)
UNK22-2	631		3.6060	0.0490	1	8/10/2022	2:52:30 PM(+0700)
UNK22-3	631		2.9363	0.0417	1	8/10/2022	2:54:26 PM(+0700)
UNK22-AV	631				1		
UNK23-1			-0.0359	0.0093	1	9/7/2022	9:07:20 AM(+0700)
UNK23-2			-0.3386	0.0060	1	9/7/2022	9:10:40 AM(+0700)
UNK23-3			-0.2468	0.0070	1	9/7/2022	9:12:35 AM(+0700)
UNK23-AV					1		
UNK24-1			19.1734	0.2187	1	9/7/2022	9:15:03 AM(+0700)
UNK24-2			12.8253	0.1495	1	9/7/2022	9:18:26 AM(+0700)
UNK24-3			20.2742	0.2307	1	9/7/2022	9:20:21 AM(+0700)
UNK24-AV					1		
UNK25-1	10.0555		6.3214	0.0786	1	9/7/2022	9:22:49 AM(+0700)
UNK25-2	10.0555		2.6428	0.0385	1	9/7/2022	9:24:40 AM(+0700)
UNK25-3	10.0555		5.4132	0.0687	1	9/7/2022	9:26:37 AM(+0700)
UNK25-AV	10.0555				1		
UNK26-1	4		7.4405	0.0908	1	9/7/2022	9:29:06 AM(+0700)
UNK26-2	4		9.0642	0.1085	1	9/7/2022	9:30:57 AM(+0700)
UNK26-3	4		8.4037	0.1013	1	9/7/2022	9:32:54 AM(+0700)
UNK26-AV	4				1		
UNK27-1	5		33.4473	0.3743	1	9/7/2022	9:35:23 AM(+0700)
UNK27-2	5		35.9791	0.4019	1	9/7/2022	9:37:14 AM(+0700)
UNK27-AV	5				1		
UNK28-1	6		4.8536	0.0626	1	9/7/2022	9:39:43 AM(+0700)
UNK28-2	6		6.7984	0.0838	1	9/7/2022	9:41:35 AM(+0700)
UNK28-3	6		6.6699	0.0824	1	9/7/2022	9:43:31 AM(+0700)
UNK28-AV	6				1		
UNK29-1	631		5.8902	0.0739	1	10/5/2022	9:40:04 AM(+0700)
UNK29-2	631		6.1562	0.0768	1	10/5/2022	9:41:52 AM(+0700)
UNK29-AV	631				1		
UNK30-1	04		4.9086	0.0632	1	10/5/2022	9:44:21 AM(+0700)
UNK30-2	04		4.9729	0.0639	1	10/5/2022	9:46:13 AM(+0700)
UNK30-AV	04				1		
UNK31-1	05		7.5781	0.0923	1	10/5/2022	9:48:42 AM(+0700)
UNK31-2	05		8.1836	0.0989	1	10/5/2022	9:50:33 AM(+0700)
UNK31-AV	05				1		
UNK32-1	06		5.4407	0.0690	1	10/5/2022	9:53:02 AM(+0700)
UNK32-2	06		5.0187	0.0644	1	10/5/2022	9:54:54 AM(+0700)
UNK32-AV	06				1		
UNK33-1	CHUAN 20PPB		21.8887	0.2483	1	10/5/2022	9:57:23 AM(+0700)
UNK33-2	CHUAN 20PPB		21.3016	0.2419	1	10/5/2022	10:00:47 AM(+0700)
UNK33-AV	CHUAN 20PPB				1		
UNK34-1	40ppb		19.4394	0.2216	1	11/2/2022	10:06:26 AM(+0700)
UNK34-2	40ppb		11.1099	0.1308	1	11/2/2022	10:09:46 AM(+0700)
UNK34-3	40ppb		19.2101	0.2191	1	11/2/2022	10:11:42 AM(+0700)
UNK34-AV	40ppb				1		
UNK35-1	4		-0.1368	0.0082	1	11/2/2022	10:14:10 AM(+0700)
UNK35-2	4		5.8535	0.0735	1	11/2/2022	10:16:01 AM(+0700)
UNK35-3	4		6.0920	0.0761	1	11/2/2022	10:17:58 AM(+0700)
UNK35-AV	4				1		
UNK36-1	5		11.0090	0.1297	1	11/2/2022	10:20:27 AM(+0700)
UNK36-2	5		9.4128	0.1123	1	11/2/2022	10:22:18 AM(+0700)
UNK36-3	5		11.3851	0.1338	1	11/2/2022	10:24:15 AM(+0700)
UNK36-AV	5				1		
UNK37-1	6		0.7164	0.0175	1	11/2/2022	10:26:44 AM(+0700)
UNK37-2	6		0.0742	0.0105	1	11/2/2022	10:28:36 AM(+0700)
UNK37-3	6		-0.0634	0.0090	1	11/2/2022	10:30:32 AM(+0700)
UNK37-AV	6				1		
UNK38-1	631		-0.1643	0.0079	1	11/2/2022	10:33:01 AM(+0700)
UNK38-2	631		-0.2560	0.0069	1	11/2/2022	10:34:53 AM(+0700)
UNK38-3	631		-0.3111	0.0063	1	11/2/2022	10:36:49 AM(+0700)
UNK38-AV	631				1		
UNK39-1	40		9.6513	0.1149	1	12/28/2022	9:04:47 AM(+0700)
UNK39-2	40		7.2020	0.0882	1	12/28/2022	9:08:07 AM(+0700)
UNK39-3	40		8.9083	0.1068	1	12/28/2022	9:10:03 AM(+0700)
UNK39-AV	40				1		
UNK40-1	4		1.3402	0.0243	1	12/28/2022	9:12:31 AM(+0700)
UNK40-2	4		0.5146	0.0153	1	12/28/2022	9:14:22 AM(+0700)
UNK40-3	4		0.6522	0.0168	1	12/28/2022	9:16:19 AM(+0700)
UNK40-AV	4				1		
UNK41-1	5		-0.4028	0.0053	1	12/28/2022	9:18:48 AM(+0700)
UNK41-2	5		3.6427	0.0494	1	12/28/2022	9:20:39 AM(+0700)
UNK41-3	5		-0.3753	0.0056	1	12/28/2022	9:22:36 AM(+0700)
UNK41-AV	5				1		
UNK42-1	6		-0.3111	0.0063	1	12/28/2022	9:25:05 AM(+0700)
UNK42-2	6		1.0191	0.0208	1	12/28/2022	9:26:56 AM(+0700)
UNK42-3	6		0.8998	0.0195	1	12/28/2022	9:28:53 AM(+0700)
UNK42-AV	6				1		
UNK43-1	631 10.0730		0.8448	0.0189	1	12/28/2022	9:31:22 AM(+0700)
UNK43-2	631 10.0730		1.6704	0.0279	1	12/28/2022	9:33:13 AM(+0700)
UNK43-3	631 10.0730		1.0007	0.0206	1	12/28/2022	9:35:10 AM(+0700)
UNK43-AV	631 10.0730				1		
STD-1		2.0000	0.3586	0.0136		12/28/2022	10:00:20 AM(+0700)
STD-2		2.0000	-0.0909	0.0087		12/28/2022	10:03:42 AM(+0700)
STD-3		2.0000	0.3586	0.0136		12/28/2022	10:05:37 AM(+0700)
STD-AV		2.0000					
STD-1		4.0000	0.6522	0.0168		12/28/2022	10:08:05 AM(+0700)
STD-2		4.0000	0.9549	0.0201		12/28/2022	10:11:30 AM(+0700)
STD-3		4.0000	1.0283	0.0209		12/28/2022	10:13:25 AM(+0700)
STD-AV		4.0000					
STD-1		10.0000	6.0645	0.0758		12/28/2022	10:15:53 AM(+0700)
STD-2		10.0000	2.8354	0.0406		12/28/2022	10:19:18 AM(+0700)
STD-3		10.0000	3.4042	0.0468		12/28/2022	10:21:13 AM(+0700)
STD-AV		10.0000					
STD-1		20.0000	10.5228	0.1244		12/28/2022	10:23:41 AM(+0700)
STD-2		20.0000	6.7158	0.0829		12/28/2022	10:27:06 AM(+0700)
STD-3		20.0000	6.8534	0.0844		12/28/2022	10:29:02 AM(+0700)
STD-AV		20.0000					
STD-1		2.0000	2.1474	0.0331		12/28/2022	10:57:42 AM(+0700)
STD-2		2.0000	1.7163	0.0284		12/28/2022	11:01:04 AM(+0700)
STD-3		2.0000	1.7713	0.0290		12/28/2022	11:02:59 AM(+0700)
STD-AV		2.0000	1.7438	0.0287		12/28/2022	11:01:04 AM(+0700)
STD-1		4.0000	3.9821	0.0531		12/28/2022	11:05:27 AM(+0700)
STD-2		4.0000	3.9546	0.0528		12/28/2022	11:08:51 AM(+0700)
STD-AV		4.0000	3.9729	0.0530		12/28/2022	11:05:27 AM(+0700)
STD-1		10.0000	10.3118	0.1221		12/28/2022	11:11:20 AM(+0700)
STD-2		10.0000	10.6879	0.1262		12/28/2022	11:14:44 AM(+0700)
STD-AV		10.0000	10.5044	0.1242		12/28/2022	11:11:20 AM(+0700)
STD-1		20.0000	20.0907	0.2287		12/28/2022	11:17:12 AM(+0700)
STD-2		20.0000	19.4669	0.2219		12/28/2022	11:20:37 AM(+0700)
STD-AV		20.0000	19.7788	0.2253		12/28/2022	11:17:12 AM(+0700)
UNK44-1	40		19.6779	0.2242	1	2/22/2023	10:41:04 AM(+0700)
UNK44-2	40		19.4394	0.2216	1	2/22/2023	10:44:24 AM(+0700)
UNK44-AV	40		19.5586	0.2229	1	2/22/2023	10:41:04 AM(+0700)
UNK45-1			9.7614	0.1161	1	2/22/2023	10:46:52 AM(+0700)
UNK45-2			11.5869	0.1360	1	2/22/2023	10:48:44 AM(+0700)
UNK45-3			12.1190	0.1418	1	2/22/2023	10:50:40 AM(+0700)
UNK45-AV			11.8529	0.1389	1	2/22/2023	10:48:44 AM(+0700)
UNK46-1			6.8075	0.0839	1	2/22/2023	10:53:09 AM(+0700)
UNK46-2			7.5231	0.0917	1	2/22/2023	10:55:01 AM(+0700)
UNK46-AV			7.1653	0.0878	1	2/22/2023	10:53:09 AM(+0700)
UNK47-1			0.3586	0.0136	1	2/22/2023	10:57:30 AM(+0700)
UNK47-2			3.1382	0.0439	1	2/22/2023	10:59:21 AM(+0700)
UNK47-3			3.5601	0.0485	1	2/22/2023	11:01:18 AM(+0700)
UNK47-AV			3.3492	0.0462	1	2/22/2023	10:59:21 AM(+0700)
UNK48-1	10.0435		4.8261	0.0623	1	2/22/2023	11:03:47 AM(+0700)
UNK48-2	10.0435		4.2757	0.0563	1	2/22/2023	11:05:38 AM(+0700)
UNK48-3	10.0435		5.0462	0.0647	1	2/22/2023	11:07:35 AM(+0700)
UNK48-AV	10.0435		4.9362	0.0635	1	2/22/2023	11:03:47 AM(+0700)
